,Price,Image URLs,Model,Year,City,year,car_type,engine_size,gear,mileage,other_details
950,35000000,"['https://kolesa-photos.kcdn.online/webp/bf/bfae197b-c4c6-4895-a61d-99d89c8ba7cc/21-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/bf/bfae197b-c4c6-4895-a61d-99d89c8ba7cc/20-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/bf/bfae197b-c4c6-4895-a61d-99d89c8ba7cc/19-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/bf/bfae197b-c4c6-4895-a61d-99d89c8ba7cc/18-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/bf/bfae197b-c4c6-4895-a61d-99d89c8ba7cc/23-160x120.jpg']",Mercedes-Benz GLE 450,2019,Алматы,2019 г.,Б/у кроссовер,3 л,КПП автомат,61 000,"бензин, белый, литые диски, тонировка, люк, спойлер, о..."
951,65000000,"['https://kolesa-photos.kcdn.online/webp/e4/e42fb688-b405-4e3e-90f4-9b9405ce8a21/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/e4/e42fb688-b405-4e3e-90f4-9b9405ce8a21/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/e4/e42fb688-b405-4e3e-90f4-9b9405ce8a21/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/e4/e42fb688-b405-4e3e-90f4-9b9405ce8a21/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/e4/e42fb688-b405-4e3e-90f4-9b9405ce8a21/7-160x120.jpg']",Mercedes-Benz S 500,2021,Алматы,2021 г.,Б/у седан,3 л,КПП автомат,48 500,"бензин, черный, металлик, литые диски, тонировка, люк, пан..."
952,500000,['https://kolesa-photos.kcdn.online/webp/7b/7b2d11aa-59cb-4b6f-b362-9bfc5a6ac4d5/1-160x120.jpg'],Mercedes-Benz C 200,1997,Жанаозен,1997 г.,Б/у седан,2 л,КПП механика,,"бензин, черный, велюр, кондиционер, ГУР, ABS"
953,38888888,"['https://kolesa-photos.kcdn.online/webp/78/78070c09-f787-4136-ad91-9bf20387a574/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/78/78070c09-f787-4136-ad91-9bf20387a574/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/78/78070c09-f787-4136-ad91-9bf20387a574/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/78/78070c09-f787-4136-ad91-9bf20387a574/5-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/78/78070c09-f787-4136-ad91-9bf20387a574/4-160x120.jpg']",Mercedes-Benz S 500,2015,Алматы,2015 г.,Б/у седан,4.7 л,КПП автомат,80 000,"бензин, белый, металлик, литые диски, тонировка, люк, па..."
954,2000000,"['https://kolesa-photos.kcdn.online/webp/94/94a68d8f-ece5-4b6a-9fd8-9bfc166157b5/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/94/94a68d8f-ece5-4b6a-9fd8-9bfc166157b5/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/94/94a68d8f-ece5-4b6a-9fd8-9bfc166157b5/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/94/94a68d8f-ece5-4b6a-9fd8-9bfc166157b5/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/94/94a68d8f-ece5-4b6a-9fd8-9bfc166157b5/6-160x120.jpg']",Mercedes-Benz C 180,1994,Караганда,1994 г.,Б/у седан,1.8 л,КПП автомат,,"бензин, Здравствуйте дорогие покупатели продаю Мерседес Бенс 1994 года мотор 1..."
955,8000000,"['https://kolesa-photos.kcdn.online/webp/07/075c81fc-5b1b-4e81-96b0-9bc218d88605/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/07/075c81fc-5b1b-4e81-96b0-9bc218d88605/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/07/075c81fc-5b1b-4e81-96b0-9bc218d88605/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/07/075c81fc-5b1b-4e81-96b0-9bc218d88605/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/07/075c81fc-5b1b-4e81-96b0-9bc218d88605/5-160x120.jpg']",Mercedes-Benz S 500,2007,Шымкент,2007 г.,Б/у седан,5.5 л,КПП автомат,,"бензин, черный, кожа, кондиционер, Вариант ест"
956,29000000,['//kolesa.kz/static/frontend/images/stubs/noPhoto_160x120.svg'],Mercedes-Benz GLS 63 AMG,2016,Алматы,2016 г.,Б/у внедорожник,5.5 л,КПП автомат,111 000,"бензин, металлик, AMG т 6.3 Полная комплектация...."
957,4600000,"['https://kolesa-photos.kcdn.online/webp/8d/8d608794-6a73-4d38-b29c-9bd9b4b2daa6/5-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/8d/8d608794-6a73-4d38-b29c-9bd9b4b2daa6/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/8d/8d608794-6a73-4d38-b29c-9bd9b4b2daa6/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/8d/8d608794-6a73-4d38-b29c-9bd9b4b2daa6/11-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/8d/8d608794-6a73-4d38-b29c-9bd9b4b2daa6/4-160x120.jpg']",Mercedes-Benz E 320,2004,Караганда,2004 г.,Б/у седан,3.2 л,КПП автомат,,"дизель, черный, металлик, литые диски, тонировка, ветровики, ксенон, дневные х..."
958,2800000,"['https://kolesa-photos.kcdn.online/webp/50/508978f8-a019-4c08-a4c2-9be07a0dad82/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/50/508978f8-a019-4c08-a4c2-9be07a0dad82/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/50/508978f8-a019-4c08-a4c2-9be07a0dad82/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/50/508978f8-a019-4c08-a4c2-9be07a0dad82/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/50/508978f8-a019-4c08-a4c2-9be07a0dad82/5-160x120.jpg']",Mercedes-Benz C 230,1997,Алматы,1997 г.,Б/у универсал,2.3 л,КПП автомат,180 000,"бензин, синий, люк, багажник, дневные ходовые огни, ..."
959,5850000,"['https://kolesa-photos.kcdn.online/webp/44/44b6e706-3811-4116-b532-9bf3f86328a8/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/44/44b6e706-3811-4116-b532-9bf3f86328a8/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/44/44b6e706-3811-4116-b532-9bf3f86328a8/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/44/44b6e706-3811-4116-b532-9bf3f86328a8/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/44/44b6e706-3811-4116-b532-9bf3f86328a8/5-160x120.jpg']",Mercedes-Benz E 320,2003,Астана,2003 г.,Б/у седан,3.2 л,КПП автомат,240 000,"бензин, серебристый, металлик, литые диски, тонировка, ..."
